IdReview,IdCliente,IdProducto,Fecha,Comentario,Rating
W0037,18,15,2025-02-02,"Gran relación calidad-precio. Muy recomendable.",4
W0038,31,3,2025-04-02,"Producto llegó rápido y funciona perfecto. Muy recomendable.",1
W0039,22,6,2025-04-19,"Calidad superior, muy contento. Muy recomendable.",4
W0040,3,18,2025-05-07,"Envío tardío y producto dañado. No volvería a comprar.",3
W0041,26,4,2024-10-12,"Producto recibido, cumple su función. OK.",5
W0042,27,15,2025-03-12,"Gran relación calidad-precio. Muy recomendable.",5
W0043,29,16,2025-04-30,"Información suficiente, sin mayor novedad. OK.",5
W0044,19,5,2025-07-13,"Calidad superior, muy contento. Muy recomendable.",1
W0045,16,20,2024-12-05,"Es lo que esperaba, nada excepcional. OK.",1
W0046,27,18,2025-01-20,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0047,32,5,2024-12-27,"Es lo que esperaba, nada excepcional. OK.",3
W0048,31,14,2025-01-23,"Información suficiente, sin mayor novedad. OK.",5
W0049,25,5,2024-12-27,"Gran relación calidad-precio. Muy recomendable.",2
W0050,18,3,2025-03-23,"Entrega correcta, sin comentarios adicionales. OK.",5
W0051,1,9,2024-11-17,"Producto llegó rápido y funciona perfecto. Muy recomendable.",5
W0052,10,16,2025-03-21,"Calidad superior, muy contento. Muy recomendable.",3
W0053,35,18,2025-06-09,"Producto llegó rápido y funciona perfecto. Muy recomendable.",2
W0054,25,19,2025-08-22,"Calidad superior, muy contento. Muy recomendable.",3
W0055,25,16,2025-01-03,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0056,33,5,2025-07-24,"Es lo que esperaba, nada excepcional. OK.",4
W0057,34,4,2025-07-02,"Producto recibido, cumple su función. OK.",4
W0058,5,5,2025-03-24,"Envío tardío y producto dañado. No volvería a comprar.",5
W0059,6,13,2025-03-03,"Satisface lo básico. OK.",3
W0060,35,16,2025-05-16,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0061,6,8,2024-10-24,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0062,11,15,2025-08-21,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0063,19,2,2025-07-01,"Calidad superior, muy contento. Muy recomendable.",2
W0064,27,17,2025-06-18,"No funciona como esperaba, decepcionado. No volvería a comprar.",2
W0065,40,3,2024-09-29,"Satisface lo básico. OK.",2
W0066,38,16,2024-10-22,"Calidad superior, muy contento. Muy recomendable.",3
W0067,17,15,2025-04-19,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0068,5,6,2024-11-17,"Producto llegó rápido y funciona perfecto. Muy recomendable.",3
W0069,17,14,2025-06-04,"Envío tardío y producto dañado. No volvería a comprar.",4
W0070,7,16,2025-03-14,"Gran relación calidad-precio. Muy recomendable.",5
W0071,19,10,2025-04-26,"Calidad superior, muy contento. Muy recomendable.",1
W0072,4,19,2025-04-20,"Entrega correcta, sin comentarios adicionales. OK.",2
W0073,23,20,2024-10-31,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0074,7,5,2025-04-08,"Producto recibido, cumple su función. OK.",4
W0075,38,2,2025-07-29,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0076,27,11,2024-12-11,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0077,33,17,2025-05-05,"Información suficiente, sin mayor novedad. OK.",4
W0078,22,10,2025-08-06,"Entrega correcta, sin comentarios adicionales. OK.",2
W0079,26,8,2025-03-10,"Satisface lo básico. OK.",1
W0080,1,13,2025-01-24,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0081,38,9,2025-07-20,"Producto llegó rápido y funciona perfecto. Muy recomendable.",2
W0082,2,16,2025-03-30,"Pésima atención al cliente. No volvería a comprar.",5
W0083,5,8,2024-09-20,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",3
W0084,8,14,2025-04-11,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0085,7,4,2025-07-06,"Gran relación calidad-precio. Muy recomendable.",4
W0086,24,15,2025-02-11,"Pésima atención al cliente. No volvería a comprar.",5
W0087,27,5,2024-11-02,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0088,3,9,2025-01-29,"No funciona como esperaba, decepcionado. No volvería a comprar.",4
W0089,24,8,2024-12-09,"Producto llegó rápido y funciona perfecto. Muy recomendable.",3
W0090,26,2,2025-01-24,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0091,39,7,2025-03-27,"Producto recibido, cumple su función. OK.",2
W0092,37,5,2025-05-30,"Gran relación calidad-precio. Muy recomendable.",5
W0093,15,7,2024-11-12,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0094,10,9,2025-05-08,"Satisface lo básico. OK.",2
W0095,2,4,2025-05-15,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0096,2,11,2025-07-11,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0097,8,17,2025-01-27,"Entrega correcta, sin comentarios adicionales. OK.",3
W0098,38,17,2025-05-23,Gran relación calidad-precio. Muy recomendable.,5
W0099,34,2,2025-08-13,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0100,28,13,2024-09-14,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0101,6,3,2025-08-11,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",2
W0102,40,9,2024-09-14,"Pésima atención al cliente. No volvería a comprar.",3
W0103,39,13,2024-12-29,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0104,7,14,2024-10-13,"Producto recibido, cumple su función. OK.",5
W0105,28,7,2025-02-14,"No funciona como esperaba, decepcionado. No volvería a comprar.",3
W0106,26,15,2025-04-06,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0107,17,11,2024-09-27,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",4
W0108,6,3,2025-02-04,"Producto recibido, cumple su función. OK.",1
W0109,9,12,2024-11-30,"Pésima atención al cliente. No volvería a comprar.",5
W0110,8,11,2025-08-18,"Calidad superior, muy contento. Muy recomendable.",3
W0111,20,20,2024-12-28,"Gran relación calidad-precio. Muy recomendable.",2
W0112,31,5,2025-03-18,"Me encanta este producto, excelente calidad. Muy recomendable.",5
W0113,8,12,2025-05-21,"Satisface lo básico. OK.",4
W0114,40,18,2025-08-31,"Pésima atención al cliente. No volvería a comprar.",5
W0115,2,9,2025-03-24,"Producto llegó rápido y funciona perfecto. Muy recomendable.",3
W0116,12,1,2024-10-12,"Satisface lo básico. OK.",4
W0117,10,3,2025-07-29,"Producto recibido, cumple su función. OK.",5
W0118,25,7,2025-06-25,"Producto llegó rápido y funciona perfecto. Muy recomendable.",3
W0119,21,10,2024-11-12,"Satisface lo básico. OK.",1
W0120,10,2,2025-08-19,"Gran relación calidad-precio. Muy recomendable.",1
W0121,29,9,2024-11-07,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0122,18,14,2025-07-17,"Gran relación calidad-precio. Muy recomendable.",3
W0123,8,14,2025-01-07,"Gran relación calidad-precio. Muy recomendable.",5
W0124,3,10,2025-08-16,"Gran relación calidad-precio. Muy recomendable.",1
W0125,20,7,2025-05-06,"Información suficiente, sin mayor novedad. OK.",3
W0126,8,11,2025-06-16,"Calidad superior, muy contento. Muy recomendable.",2
W0127,35,13,2024-12-01,"Satisface lo básico. OK.",3
W0128,26,3,2025-02-02,"Producto recibido, cumple su función. OK.",1
W0129,5,15,2025-02-06,"Satisface lo básico. OK.",5
W0130,27,13,2025-09-03,"Calidad superior, muy contento. Muy recomendable.",3
W0131,40,6,2025-07-30,"Envío tardío y producto dañado. No volvería a comprar.",4
W0132,16,4,2024-12-19,"Calidad superior, muy contento. Muy recomendable.",1
W0133,20,13,2025-03-27,"Información suficiente, sin mayor novedad. OK.",2
W0134,33,3,2024-12-26,"Pésima atención al cliente. No volvería a comprar.",2
W0135,23,12,2025-05-16,"Información suficiente, sin mayor novedad. OK.",1
W0136,17,5,2025-06-27,"Gran relación calidad-precio. Muy recomendable.",1
W0137,32,6,2024-11-21,"Pésima atención al cliente. No volvería a comprar.",4
W0138,40,19,2025-06-28,"Producto llegó rápido y funciona perfecto. Muy recomendable.",4
W0139,31,3,2025-04-26,"Producto llegó rápido y funciona perfecto. Muy recomendable.",5
W0140,23,2,2025-01-20,"Envío tardío y producto dañado. No volvería a comprar.",4
W0141,4,2,2025-08-05,"Producto llegó rápido y funciona perfecto. Muy recomendable.",1
W0142,39,20,2024-11-20,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0143,29,2,2024-10-15,"Satisface lo básico. OK.",2
W0144,39,11,2025-08-13,"No funciona como esperaba, decepcionado. No volvería a comprar.",4
W0145,22,4,2024-12-29,"Producto recibido, cumple su función. OK.",2
W0146,16,2,2024-12-19,"Entrega correcta, sin comentarios adicionales. OK.",5
W0147,11,20,2025-02-27,"Producto llegó rápido y funciona perfecto. Muy recomendable.",4
W0148,39,11,2025-08-11,"Producto llegó rápido y funciona perfecto. Muy recomendable.",3
W0149,36,4,2025-05-07,"Envío tardío y producto dañado. No volvería a comprar.",5
W0150,22,5,2025-03-18,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0151,9,13,2025-04-08,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0152,22,13,2025-07-28,"Satisface lo básico. OK.",4
W0153,24,17,2025-06-13,"Producto llegó rápido y funciona perfecto. Muy recomendable.",2
W0154,32,11,2025-06-26,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0155,7,10,2024-12-18,"Pésima atención al cliente. No volvería a comprar.",1
W0156,40,11,2025-06-27,"Calidad superior, muy contento. Muy recomendable.",2
W0157,40,6,2025-02-01,"Información suficiente, sin mayor novedad. OK.",1
W0158,24,14,2025-01-29,"No funciona como esperaba, decepcionado. No volvería a comprar.",5
W0159,29,10,2025-04-08,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",4
W0160,24,7,2025-01-31,"Pésima atención al cliente. No volvería a comprar.",4
W0161,25,10,2025-06-23,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",2
W0162,9,20,2024-10-20,"Producto recibido, cumple su función. OK.",4
W0163,36,12,2025-07-12,"Satisface lo básico. OK.",3
W0164,11,3,2025-06-30,"Gran relación calidad-precio. Muy recomendable.",4
W0165,15,3,2025-08-31,"Es lo que esperaba, nada excepcional. OK.",4
W0166,26,2,2025-02-28,"No funciona como esperaba, decepcionado. No volvería a comprar.",1
W0167,15,12,2024-09-13,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0168,9,5,2024-09-22,"Calidad superior, muy contento. Muy recomendable.",2
W0169,29,16,2025-09-04,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0170,10,7,2024-12-17,"Pésima atención al cliente. No volvería a comprar.",4
W0171,19,4,2025-08-20,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0172,40,14,2025-01-01,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0173,2,18,2025-05-13,"Pésima atención al cliente. No volvería a comprar.",2
W0174,28,10,2025-05-13,"Producto llegó rápido y funciona perfecto. Muy recomendable.",5
W0175,12,14,2024-12-19,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0176,34,3,2024-12-04,"Pésima atención al cliente. No volvería a comprar.",1
W0177,31,13,2025-03-06,"Calidad superior, muy contento. Muy recomendable.",3
W0178,23,1,2025-05-13,"Es lo que esperaba, nada excepcional. OK.",1
W0179,22,19,2024-12-08,"Producto llegó rápido y funciona perfecto. Muy recomendable.",3
W0180,30,6,2024-10-25,"Entrega correcta, sin comentarios adicionales. OK.",2
W0181,5,5,2025-08-26,"Entrega correcta, sin comentarios adicionales. OK.",3
W0182,3,7,2025-04-05,"Producto recibido, cumple su función. OK.",3
W0183,26,17,2025-01-14,"Satisface lo básico. OK.",3
W0184,13,2,2024-10-13,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0185,8,9,2025-02-21,"Entrega correcta, sin comentarios adicionales. OK.",4
W0186,22,13,2024-09-24,"Entrega correcta, sin comentarios adicionales. OK.",4
W0187,34,12,2025-02-08,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0188,39,14,2024-12-08,"Información suficiente, sin mayor novedad. OK.",3
W0189,7,11,2025-04-10,"Producto llegó rápido y funciona perfecto. Muy recomendable.",4
W0190,28,20,2025-03-18,"Calidad superior, muy contento. Muy recomendable.",4
W0191,23,2,2025-04-26,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0192,26,3,2025-08-29,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",2
W0193,29,20,2025-05-16,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0194,25,12,2024-11-08,"Producto recibido, cumple su función. OK.",2
W0195,24,15,2024-11-24,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0196,24,17,2025-05-09,"Producto llegó rápido y funciona perfecto. Muy recomendable.",1
W0197,12,1,2024-11-30,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0198,17,9,2024-11-04,"Información suficiente, sin mayor novedad. OK.",3
W0199,13,16,2025-01-25,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0200,6,15,2024-10-07,"Es lo que esperaba, nada excepcional. OK.",3
